"uid","role"," description","controller","function","table","uacl","oacl","hidden","system","protected","Notes"
"project_reader","Project Reader",,"hrm",,,"READ",,,,,
"project_data_entry","Project Data Entry",,"project",,,"READ|CREATE","READ|CREATE|UPDATE",,,,
"project_data_entry","Project Data Entry",,"org",,,"READ",,,,,
"project_data_entry","Project Data Entry",,"hrm",,,"READ",,,,,
"project_editor","Project Editor",,"project",,,"READ|CREATE|UPDATE",,,,,
"project_editor","Project Editor",,"org",,,"READ|UPDATE",,,,,
"project_editor","Project Editor",,"hrm",,,"READ|CREATE|UPDATE",,,,,
"project_super","Project Super Editor",,"project",,,"READ|CREATE|UPDATE|DELETE",,,,,
"project_super","Project Super Editor",,"org",,,"READ|CREATE|UPDATE",,,,,
"project_super","Project Super Editor",,"hrm",,,"READ|CREATE|UPDATE",,,,,
"staff_reader","Staff Reader",,"hrm",,,"READ",,,,,
"staff_reader","Staff Reader",,"pr",,,"READ",,,,,
"staff_reader","Staff Reader",,"org",,,"READ",,,,,
"staff_data_entry","Staff Data Entry",,"hrm",,,"READ|CREATE","READ|CREATE|UPDATE",,,,
"staff_data_entry","Staff Data Entry",,"pr",,,"READ|CREATE","READ|CREATE|UPDATE",,,,
"staff_data_entry","Staff Data Entry",,"org",,,"READ",,,,,
"staff_editor","Staff Editor",,"hrm",,,"READ|CREATE|UPDATE","READ|CREATE|UPDATE",,,,
"staff_editor","Staff Editor",,"pr",,,"READ|CREATE|UPDATE",,,,,
"staff_editor","Staff Editor",,"org",,,"READ|UPDATE",,,,,
"staff_super","Staff Super Editor",,"hrm",,,"READ|CREATE|UPDATE|DELETE",,,,,
"staff_super","Staff Super Editor",,"pr",,,"READ|CREATE|UPDATE|DELETE",,,,,
"staff_super","Staff Super Editor",,"org",,,"READ|CREATE|UPDATE|DELETE",,,,,
"vol_reader","Volunteer Reader",,"hrm",,,"READ",,,,,
"vol_reader","Volunteer Reader",,"pr",,,"READ",,,,,
"vol_reader","Volunteer Reader",,"org",,,"READ",,,,,
"vol_data_entry","Volunteer Data Entry",,"hrm",,,"READ|CREATE","READ|CREATE|UPDATE",,,,
"vol_data_entry","Volunteer Data Entry",,"pr",,,"READ|CREATE","READ|CREATE|UPDATE",,,,
"vol_data_entry","Volunteer Data Entry",,"org",,,"READ",,,,,
"vol_editor","Volunteer Editor",,"hrm",,,"READ|CREATE","READ|CREATE|UPDATE",,,,
"vol_editor","Volunteer Editor",,"pr",,,"READ|CREATE|UPDATE",,,,,
"vol_editor","Volunteer Editor",,"org",,,"READ|UPDATE",,,,,
"vol_super","Volunteer Super Editor",,"hrm",,,"READ|CREATE|UPDATE|DELETE",,,,,
"vol_super","Volunteer Super Editor",,"pr",,,"READ|CREATE|UPDATE|DELETE",,,,,
"vol_super","Volunteer Super Editor",,"org",,,"READ|CREATE|UPDATE|DELETE",,,,,
"survey_reader","Assessment Reader",,"survey","index",,"READ",,,,,
